f_id,nbhd,host,cap,inst,pwr
F02180,Mott Haven,corner deli,382,20231216,GRID
F00784,harlem,Community Garden,530,20201112,Grid
F03954,Mott Haven,community garden,682,20180922,Solar
F03180,jackson hts,community garden,"1,831",20220613,generator
F02154,bed-stuy, CORNER DELI ,"1,348",20180211,GRID
F03629,Bedford-Stuyvesant,Mutual Aid NYC,"1,297",20211122,Solar
F03341,Harlem,St. Marks Church,"1,767",20230702,Generator
F04453,bushwick,community garden,,20200214,generator
F02670,Bushwick,mutual aid nyc,"1,991",20211105,GRID
F02829,crown hts,Mutual Aid NYC,,20240625,SOLAR
F01105,mott haven,mutual aid nyc,"1,890",20200226,GRID
F03157,Bushwick,bodega grande,469,20210522,Solar
F04133,Mott Haven,Bodega Grande,770,20190602,generator
F01725,Bedford-Stuyvesant,The Bakery,"1,661",20200405,solar
F03245,sunset park,Community Garden,335,20191216,GRID
F02992,Jackson Heights,The Bakery,847,20200517,Grid
F02622,harlem,Community Garden,"1,246",20180828,grid
F00218,Harlem,Bodega Grande,"1,780",20241225,GRID
F01094,Sunset Park,corner deli,719,20210109,generator
F01954,crown hts, CORNER DELI ,921,20180524,solar
F00897,jackson hts,bodega grande,,20200812,Generator
F02673,Sunset Park,corner deli,209,20210701,Grid
F00289,Bushwick,,398,20201109,solar
F02814,jackson hts,Bodega Grande,987,20231122,GRID
F03599,bed-stuy,Mutual Aid NYC,398,20220428,Solar
F04392,Crown Heights,The Bakery,"1,635",20210404,SOLAR
F00371,sunset park,Bodega Grande,"1,162",20231113,Solar
F00097,bed-stuy,bodega grande,871,20200102,generator
F04592,Crown Heights,Bodega Grande,637,20240322,Grid
F02046,Harlem,mutual aid nyc,606,20230104,Generator
F00389,Crown Heights,Mutual Aid NYC,923,20230411,Grid
F03662, Bushwick ,The Bakery,282,20221121,Grid
F01569,ridgewood,,"1,650",20220321,Solar
F04356,crown hts,Community Garden,272,20190107,generator
F04394,Bedford-Stuyvesant,,"1,918",20240908,solar
F02417,flatbush ,corner deli,898,20231115,Solar
F01930,Bushwick,st. marks church,"1,767",20190927,GRID
F01665,bushwick,,806,20210313,Grid
F01043,mott haven,green grocer,509,20240106,generator
F01808,bed-stuy,St. Marks Church,"1,618",20180912,Solar
F03230,bushwick,green grocer,"1,444",20180925,SOLAR
F00221,Ridgewood,Mutual Aid NYC,"1,063",20200314,solar
F02706,flatbush ,Mutual Aid NYC,"1,557",20190718,Solar
F04479,harlem,st. marks church,571,20191214,SOLAR
F02049,Sunset Park,Corner Deli,251,20221223,SOLAR
F03458,bed-stuy,St. Marks Church,,20210824,generator
F02445,sunset park,st. marks church,"1,657",20241015,Generator
F01336,crown hts,st. marks church,805,20210802,GRID
F02136,Harlem,,176,20180201,grid
F03515,Crown Heights,The Bakery,115,20230910,grid
F02036,Mott Haven,community garden,832,20181004,solar
F01307,Bedford-Stuyvesant, CORNER DELI ,977,20191102,Grid
F00619,Mott Haven,bodega grande,65,20230216,generator
F04115,Bushwick,bodega grande,"1,548",20220305,grid
F00951,jackson hts,bodega grande,110,20240617,generator
F02663,Harlem,Mutual Aid NYC,137,20200214,SOLAR
F02208,Bedford-Stuyvesant,The Bakery,"1,385",20211209,generator
F04797,flatbush ,Green Grocer,872,20180912,grid
F03064,Flatbush,mutual aid nyc,318,20190904,Solar
F02824,Jackson Heights,the bakery,762,20191007,Solar
F01220,mott haven,bodega grande,560,20240622,GRID
F02025,sunset park,Corner Deli,647,20220523,grid
F00496,mott haven,bodega grande,934,20230205,Grid
F04778,Harlem,Green Grocer,"1,811",20190608,SOLAR
F00217,sunset park,St. Marks Church,"1,602",20190314,GRID
F00748,bed-stuy,mutual aid nyc,"1,150",20191222,grid
F02847,harlem,bodega grande,"1,684",20230626,Grid
F01953,Bushwick,bodega grande,653,20240426,solar
F00210,mott haven,community garden,"1,851",20241120,grid
F02632,Bed-Stuy,,999999,20220807,Grid
F04569,flatbush ,,608,20220726,Generator
F00311,Sunset Park,Corner Deli,128,20180609,grid
F02924,Bushwick, CORNER DELI ,"1,178",20200208,Solar
F02192,Bushwick,Bodega Grande,"1,713",20220214,Grid
F04010,Jackson Heights,,645,20220307,Solar
F04839,Bedford-Stuyvesant,Community Garden,"1,110",20230901,Solar
F01610,Bushwick,community garden,,20240205,SOLAR
F00363,Jackson Heights,green grocer,994,20200323,generator
F01025,Bed-Stuy,Bodega Grande,862,20210318,generator
F03485, Bushwick ,Green Grocer,"1,931",20221108,GRID
F00271,Bed-Stuy,bodega grande,"1,070",20231124,Generator
F00693,jackson hts,Community Garden,"1,199",20220707,SOLAR
F03409,bed-stuy, CORNER DELI ,185,20240924,grid
F02324,Mott Haven,Bodega Grande,"1,187",20190828,SOLAR
F04374,flatbush ,Green Grocer,999999,20230312,Generator
F00342,jackson hts,,290,20190903,SOLAR
F04362,Jackson Heights,Green Grocer,777,20230218,Grid
F01712,Harlem,st. marks church,433,20180319,GRID
F03768,Bushwick, CORNER DELI ,"1,260",20241127,Grid
F02566,Bedford-Stuyvesant,Corner Deli,"1,022",20230803,Generator
F03520,Bedford-Stuyvesant,St. Marks Church,"1,273",20231123,solar
F01602,Sunset Park, CORNER DELI ,"1,235",20221224,Solar
F04003,mott haven,mutual aid nyc,456,20241205,Solar
F03720,Crown Heights,Green Grocer,-30,20190925,solar
F02881,Sunset Park,community garden,"1,981",20191101,Grid
F03471,Harlem,mutual aid nyc,"1,613",20210521,generator
F03470,Jackson Heights,Community Garden,932,20210501,Generator
F01467,Bed-Stuy,bodega grande,"1,542",20220303,GRID
F02001,Ridgewood,community garden,"1,150",20210814,Grid
F02743,ridgewood,the bakery,755,20220417,GRID
F00262,Bedford-Stuyvesant,Community Garden,"1,063",20200323,GRID
F03440,harlem,Community Garden,"1,269",20180913,solar
F03480,Bed-Stuy,Bodega Grande,"1,364",20180802,SOLAR
F03754,Bed-Stuy,St. Marks Church,"1,006",20190321,grid
F02031, Bushwick ,The Bakery,"1,306",20230710,grid
F03756,Bedford-Stuyvesant,bodega grande,"1,321",20220323,GRID
F03318,crown hts,bodega grande,511,20240703,Solar
F04104,bed-stuy,community garden,"1,269",20240101,grid
F02865,bushwick,mutual aid nyc,"1,754",20190908,grid
F00887,Sunset Park,bodega grande,"1,816",20221125,solar
F03702,Bed-Stuy, CORNER DELI ,988,20241017,Generator
F04258,Harlem,Mutual Aid NYC,"1,134",20240820,Solar
F00083,flatbush ,,576,20230124,Grid
F03093,Crown Heights,mutual aid nyc,"1,079",20191202,GRID
F02164,Bed-Stuy,Bodega Grande,"1,098",20231123,Grid
F01330,mott haven,Mutual Aid NYC,"1,463",20230728,Grid
F02660,Flatbush,community garden,"1,841",20220228,grid
F04173, Bushwick ,corner deli,589,20201007,Generator
F02526,Bushwick,The Bakery,427,20181028,Solar
F03660,bed-stuy,mutual aid nyc,"1,919",20190315,solar
F04309,mott haven,st. marks church,201,20231011,grid
F04178,bed-stuy,,"1,517",20221121,generator
F01766,ridgewood,,581,20240601,Grid
F01411, Bushwick ,Community Garden,410,20191122,generator
F01780,harlem,corner deli,524,20191122,Generator
F02078,Bed-Stuy,Corner Deli,"1,600",20190416,GRID
F00734,Crown Heights,St. Marks Church,424,20220614,SOLAR
F04150, Bushwick ,Corner Deli,"1,579",20220509,Grid
F02410,jackson hts,bodega grande,"1,281",20190326,Generator
F02808,flatbush ,Community Garden,"1,300",20210527,Grid
F02943,ridgewood,Green Grocer,"1,276",20200626,SOLAR
F04012,Bedford-Stuyvesant,Mutual Aid NYC,"1,372",20240826,generator
F01784,bed-stuy,bodega grande,"1,252",20210228,generator
F00544,Jackson Heights,The Bakery,"1,739",20241107,SOLAR
F02486,Flatbush,Mutual Aid NYC,661,20220527,Grid
F01061,mott haven,,"1,836",17760901,generator
F01741,sunset park,community garden,"1,475",20200716,Generator
F04610,Jackson Heights,the bakery,"1,946",20220315,Generator
F01574,Bushwick,Bodega Grande,254,20191125,generator
F01151,Sunset Park,the bakery,"1,556",20200124,Solar
F02962,Bedford-Stuyvesant,The Bakery,"1,125",20180512,solar
F02356,Mott Haven,,"1,199",20230422,SOLAR
F04145,crown hts,mutual aid nyc,"1,695",20230825,generator
F01424,mott haven,green grocer,238,20241116,solar
F02901,Bushwick,Green Grocer,"1,296",20220325,Generator
F03547,mott haven,Mutual Aid NYC,"1,531",20230404,generator
F00800,Mott Haven,bodega grande,780,20240814,Generator
F00637, Bushwick ,Bodega Grande,"1,809",20240204,Generator
F02270,Harlem,mutual aid nyc,849,20180920,Grid
F01652,sunset park,Bodega Grande,"1,350",20220713,Grid
F04543,Bed-Stuy,mutual aid nyc,983,20201007,Solar
F02595,jackson hts,st. marks church,343,20210102,Grid
F00603,ridgewood,st. marks church,"1,014",20220413,solar
F01423,flatbush ,mutual aid nyc,94,20230704,solar
F04399,Sunset Park,The Bakery,623,20230826,grid
F02188,ridgewood,St. Marks Church,287,20200603,SOLAR
F04843,Jackson Heights,Green Grocer,,20240820,Solar
F03429,jackson hts,Community Garden,"1,718",20200818,SOLAR
F01492,Bed-Stuy,the bakery,,20191113,Generator
F04606,Sunset Park,mutual aid nyc,"1,754",20211118,grid
F02828,Mott Haven,bodega grande,"1,408",20231203,Grid
F04865, Bushwick ,corner deli,"1,568",20180805,grid
F03924,bushwick,Bodega Grande,629,20240111,generator
F00626,Jackson Heights, CORNER DELI ,"1,689",20180712,GRID
F00743,crown hts,,54,20200823,Solar
F04295,mott haven,st. marks church,"1,533",20221010,Solar
F01600,mott haven, CORNER DELI ,75,20190307,grid
F02725,crown hts,community garden,"1,992",20180327,grid
F03137,bed-stuy,,637,20200501,Grid
F02809,Harlem,the bakery,999999,20190907,grid
F01622,bushwick,St. Marks Church,441,20240615,Grid
F01657, Bushwick ,Mutual Aid NYC,"1,396",20190809,Solar
F02396,Crown Heights,green grocer,"1,993",20220825,generator
F01176,Mott Haven,The Bakery,"1,663",20231119,Grid
F00048,ridgewood,mutual aid nyc,"1,052",20231217,GRID
F03192,Mott Haven,Bodega Grande,"1,543",20230319,SOLAR
F00360,Ridgewood,st. marks church,"1,190",20211202,SOLAR
F01434,Bedford-Stuyvesant,Community Garden,229,20220116,solar
F04747,Crown Heights, CORNER DELI ,"1,391",20200510,grid
F03506,Bushwick,St. Marks Church,349,20211205,Solar
F00238, Bushwick , CORNER DELI ,932,20230423,solar
F02425,flatbush ,green grocer,"1,344",20200514,solar
F02763,Bed-Stuy,green grocer,999999,20221225,SOLAR
F03807,ridgewood,Corner Deli,,20230403,solar
F03084,Jackson Heights,the bakery,390,20180717,generator
F03004,harlem,bodega grande,"1,245",20221211,grid
F01100,bed-stuy,the bakery,"1,299",20211011,generator
F00999,Ridgewood,community garden,674,20240901,Generator
F00954,Harlem,Green Grocer,"1,338",20190628,generator
F04838,Crown Heights,bodega grande,"1,678",20240813,Grid
F02999,jackson hts,mutual aid nyc,434,20220623,SOLAR
F04849,bushwick,mutual aid nyc,82,20210210,solar
F03740,sunset park,green grocer,281,20210808,Grid
F00008, Bushwick ,mutual aid nyc,"1,227",20180823,grid
F03300, Bushwick , CORNER DELI ,,20210410,grid
F03916,Mott Haven,Green Grocer,872,20191010,GRID
F03249,jackson hts,the bakery,"1,749",20230908,Generator
F02344,ridgewood,community garden,"1,157",20230211,Generator
F03007,Mott Haven,the bakery,"1,888",20220413,GRID
F04348,Harlem,The Bakery,565,20200310,Solar
F00888,Bushwick,st. marks church,,20230313,Grid
F03967, Bushwick ,st. marks church,447,20180901,grid
F01277,Ridgewood,bodega grande,"1,328",20210611,GRID
F01318,ridgewood,bodega grande,"1,013",20200422,Grid
F04835,Crown Heights,bodega grande,835,20180702,SOLAR
F04442, Bushwick , CORNER DELI ,"1,146",20240405,SOLAR
F03978,Crown Heights,the bakery,,20200225,SOLAR
F00566,Mott Haven,,"1,252",20220206,grid
F04862,bed-stuy,Bodega Grande,-30,20200213,Generator
F03303,jackson hts,mutual aid nyc,793,20220315,SOLAR
F01865,mott haven,Bodega Grande,981,20220125,SOLAR
F03573,Ridgewood,the bakery,143,17760723,SOLAR
F02328,Bedford-Stuyvesant,Community Garden,"1,132",20240706,Grid
F00309,Mott Haven,bodega grande,"1,116",20191124,Grid
F00890, Bushwick , CORNER DELI ,436,20180120,Grid
F02128,Mott Haven,st. marks church,"1,767",20220727,generator
F02288,jackson hts,Mutual Aid NYC,574,20240113,solar
F02131,ridgewood,st. marks church,69,20210904,Solar
F01766,ridgewood,,581,20240601,Grid
F02295,Flatbush,Community Garden,"1,198",20190902,Solar
F02242,Sunset Park,bodega grande,"1,471",20201004,GRID
F02073,crown hts,Community Garden,"1,659",20190502,Grid
F03199,harlem,Corner Deli,"1,439",20190104,grid
F03603,sunset park,bodega grande,913,20180109,Solar
F00426,Bed-Stuy,Corner Deli,868,20210715,solar
F03840,Crown Heights, CORNER DELI ,332,20241107,Generator
F01932,harlem,the bakery,156,20211212,generator
F04870,Mott Haven,The Bakery,133,20221113,generator
F00052,Ridgewood,Green Grocer,520,20190816,Grid
F04179, Bushwick , CORNER DELI ,834,20230302,Solar
F03384,sunset park,Bodega Grande,825,20180727,Grid
F00060,harlem,Corner Deli,196,20210504,GRID
F04128,flatbush ,Corner Deli,"1,428",20211208,solar
F01291,Flatbush,mutual aid nyc,477,20180925,GRID
F03888,sunset park,Green Grocer,"1,283",20180622,GRID
F01614,Bed-Stuy,the bakery,"1,035",20190904,grid
F01838,Flatbush,community garden,"1,932",20240326,Generator
F00785,Bedford-Stuyvesant,community garden,93,20230522,generator
F01516, Bushwick ,Mutual Aid NYC,227,20190811,GRID
F02286,sunset park,green grocer,"1,533",20230102,generator
F03773,bushwick,Community Garden,"1,518",20220818,SOLAR
F04089,Ridgewood,corner deli,487,20220216,Solar
F02880,bed-stuy,Community Garden,"1,222",20191012,Generator
F02093,bed-stuy,,"1,173",20230914,Solar
F01619, Bushwick ,St. Marks Church,"1,375",20190410,SOLAR
F02256, Bushwick ,bodega grande,"1,052",20211101,Grid
F01316,Jackson Heights,community garden,304,20190816,generator
F00900, Bushwick ,Corner Deli,"1,317",20180822,GRID
F04732,Sunset Park,st. marks church,"1,478",20220607,solar
F02333,crown hts,Community Garden,509,20230717,Solar
F03712,Sunset Park,,123,20210122,Solar
F01770,Bushwick,bodega grande,"1,248",20180719,grid
F04419,Harlem,the bakery,683,20220525,Generator
F03564,jackson hts,community garden,419,20191007,grid
F01417,ridgewood,St. Marks Church,780,20230404,generator
F02384, Bushwick ,community garden,"1,284",20200314,solar
F04681,bed-stuy,green grocer,"1,274",20200603,solar
F02019,sunset park,corner deli,704,20240909,Generator
F00725,bed-stuy, CORNER DELI ,"1,251",17761218,Solar
F02119,Flatbush,green grocer,"1,093",20221014,grid
F04163,jackson hts,mutual aid nyc,"1,297",20190210,Grid
F01169,Sunset Park,Green Grocer,"1,626",20180901,GRID
F03829,Harlem,Corner Deli,"1,633",20191107,solar
F01285,crown hts,Bodega Grande,739,20240405,GRID
F00412, Bushwick ,the bakery,512,20200411,GRID
F01415,Flatbush,green grocer,999999,17761218,Grid
F01877,Flatbush,Bodega Grande,"1,740",20180103,Grid
F03436,Ridgewood,Community Garden,386,20240709,generator
F03494,Crown Heights,green grocer,"1,986",20190816,Grid
F00620,flatbush ,The Bakery,"1,388",20230104,Generator
F01785,Mott Haven,bodega grande,"1,635",20230602,Grid
F03350,Bushwick,Green Grocer,89,20210306,generator
F04421, Bushwick ,Mutual Aid NYC,"1,374",20180518,GRID
F04508, Bushwick , CORNER DELI ,256,20210704,SOLAR
F03488,Mott Haven,Green Grocer,366,20221218,GRID
F00593, Bushwick ,st. marks church,390,20200901,grid
F04517,Crown Heights,green grocer,47,20230217,SOLAR
F03042,Bushwick, CORNER DELI ,226,20191220,generator
F03210,Bedford-Stuyvesant,Mutual Aid NYC,"1,266",20221014,Generator
F03310,bed-stuy,Community Garden,"1,057",20220419,solar
F01160,Flatbush,green grocer,"1,192",20200507,grid
F02983,flatbush ,green grocer,"1,193",20191021,Solar
F02806,crown hts,green grocer,41,20241218,Generator
F01287,Mott Haven,Mutual Aid NYC,"1,703",20180726,grid
F01427,jackson hts,Community Garden,"1,273",20210628,grid
F01505,ridgewood,Community Garden,"1,001",20190301,GRID
F01315,sunset park,St. Marks Church,"1,722",20190524,generator
F03626,Bedford-Stuyvesant,bodega grande,779,20200413,GRID
F01312,ridgewood,Community Garden,185,20230820,grid
F04572,sunset park,Bodega Grande,"1,376",20191115,SOLAR
F01579,Harlem,,"1,811",20230710,GRID
F02024,Ridgewood,The Bakery,197,20200315,Generator
F02767,Bed-Stuy,Green Grocer,"1,057",20220315,solar
F02960,jackson hts,the bakery,"1,611",20200327,SOLAR
F03107,jackson hts,Bodega Grande,"1,846",20180624,Solar
F03563,flatbush ,bodega grande,"1,525",20190227,generator
F03902,Bed-Stuy,mutual aid nyc,"1,853",20180401,GRID
F04048,bushwick,Bodega Grande,251,20180806,Grid
F04708,Flatbush,green grocer,439,20211019,solar
F03454,Crown Heights,St. Marks Church,572,20210716,grid
F04259,Crown Heights,st. marks church,969,20180308,Grid
F00171,Bushwick,Corner Deli,"1,060",20200101,Grid
F04842,Jackson Heights,,"1,087",20240127,grid
F02561, Bushwick ,bodega grande,108,20230807,generator
F04500,Sunset Park,,"1,207",20190821,grid
F04841,jackson hts,The Bakery,"1,565",20231204,Grid
F02700,bed-stuy,The Bakery,341,20190217,generator
F01269,sunset park,green grocer,"1,984",20190505,SOLAR
F03175,Flatbush,Mutual Aid NYC,"1,155",20201008,grid
F03278,bushwick, CORNER DELI ,148,20220326,SOLAR
F00127,harlem,the bakery,109,20240227,Generator
F02415,Sunset Park,green grocer,"1,376",20240415,grid
F03231,Jackson Heights,,"1,115",20180307,Generator
F00624,bushwick,,"1,338",20180105,solar
F04342,Crown Heights,St. Marks Church,"1,074",20210612,generator
F02521,Ridgewood,corner deli,"1,351",20180810,SOLAR
F03348,crown hts,mutual aid nyc,"1,154",20221015,GRID
F04633,sunset park,Corner Deli,"1,965",20200309,Solar
F00105,Mott Haven,the bakery,"1,084",20181211,Grid
F02170,Bushwick,st. marks church,-30,20210214,SOLAR
F01644,Crown Heights,,274,20231116,Grid
F02349, Bushwick ,Corner Deli,768,20220303,GRID
F03793,Ridgewood,the bakery,"1,573",20191106,SOLAR
F01853,Mott Haven,the bakery,,20200211,GRID
F01909,Flatbush,Mutual Aid NYC,"1,622",20220127,Grid
F00950,bushwick,st. marks church,"1,409",20200313,Grid
F03545,Ridgewood,corner deli,"1,544",20210421,Solar
F04536,Bed-Stuy,community garden,"1,168",20191111,grid
F00811,bushwick,community garden,262,20210928,solar
F01332,Flatbush,,"1,283",20230418,Generator
F03848,sunset park,community garden,"1,281",20190812,GRID
F02175,Mott Haven,community garden,"1,821",20180812,Generator
F01911,flatbush ,corner deli,288,20201103,Solar
F02056,Flatbush,corner deli,933,20231124,solar
F02850,Bedford-Stuyvesant,Bodega Grande,"1,457",20210920,generator
F01206,Jackson Heights,corner deli,626,20211018,solar
F02515,Bedford-Stuyvesant,the bakery,"1,794",17760313,grid
F00134,Bedford-Stuyvesant,bodega grande,904,20180718,generator
F03365,crown hts,corner deli,575,20181208,Solar
F04551,Bedford-Stuyvesant,bodega grande,"1,938",20200824,generator
F00114,Crown Heights, CORNER DELI ,662,20200519,SOLAR
F00385,Sunset Park,community garden,"1,259",20180808,SOLAR
F00375,Harlem, CORNER DELI ,"1,901",20220602,Generator
F03456,Flatbush,st. marks church,60,20210504,generator
F02867,harlem,bodega grande,206,20211026,Grid
F02727,Ridgewood,green grocer,,20210313,Solar
F01300,ridgewood,Community Garden,174,20240913,SOLAR
F04614,ridgewood,bodega grande,"1,942",20180328,Grid
F02289,crown hts,st. marks church,"1,510",20230919,solar
F04094, Bushwick ,Mutual Aid NYC,82,20211123,Solar
F04705,crown hts,Corner Deli,268,20220527,grid
F00392,Sunset Park,Mutual Aid NYC,"1,353",20231106,SOLAR
F02695,Flatbush,Bodega Grande,724,20191007,grid
F03398,flatbush ,St. Marks Church,740,20200227,Grid
F03605,bushwick,the bakery,508,20181024,GRID
F02068,Jackson Heights,corner deli,748,20230728,GRID
F02590,Jackson Heights,Bodega Grande,"1,063",20241006,Grid
F04432,jackson hts,Green Grocer,"1,728",20230801,GRID
F01096,crown hts,Bodega Grande,352,20240421,generator
F02237,Mott Haven,Corner Deli,"1,838",20210210,generator
F01432,Mott Haven,the bakery,"1,025",20190816,Solar
F02653,Bedford-Stuyvesant,Corner Deli,682,20190120,Solar
F00921,Ridgewood,community garden,70,20220525,generator
F01923,mott haven,Community Garden,762,20200822,SOLAR
F00601,mott haven, CORNER DELI ,566,20240921,grid
F01597,crown hts,Corner Deli,576,20231128,GRID
F02987,harlem,corner deli,"1,345",20240819,Grid
F04822,Flatbush,bodega grande,"1,857",20220310,grid
F02151,Jackson Heights,corner deli,257,20211005,solar
F00521,ridgewood,Corner Deli,"1,937",20190109,Grid
F03855,jackson hts,Bodega Grande,856,20240401,GRID
F01548,Mott Haven,bodega grande,"1,406",20191104,grid
F03641,Flatbush, CORNER DELI ,,20200503,grid
F03582,crown hts,The Bakery,,20210111,Grid
F00343,mott haven,Mutual Aid NYC,"1,861",20180520,Grid
F04322, Bushwick ,St. Marks Church,416,20180923,grid
F00648,Ridgewood,Green Grocer,704,20190602,Solar
F01701,flatbush ,st. marks church,"1,876",20210327,SOLAR
F04465,Harlem,green grocer,254,20220318,solar
F02620,sunset park,Bodega Grande,906,20200916,Grid
F03909,ridgewood,Mutual Aid NYC,406,20190520,Grid
F00368,Bed-Stuy,green grocer,162,20210102,generator
F00156,crown hts,st. marks church,201,20210209,GRID
F01377,mott haven,st. marks church,"1,761",20180816,solar
F00988,jackson hts,St. Marks Church,"1,625",20240313,Grid
F02815,Bed-Stuy,Corner Deli,789,20211013,SOLAR
F02086,harlem,the bakery,758,17760604,Grid
F03053,Bedford-Stuyvesant,the bakery,825,20210325,generator
F03873,Bushwick,,533,20201114,Generator
F04409,Jackson Heights,bodega grande,"1,152",20240707,solar
F02956, Bushwick ,mutual aid nyc,"1,777",20230710,SOLAR
F01132,Ridgewood,Green Grocer,261,20220913,GRID
F01170,crown hts,community garden,"1,840",20201223,grid
F03725,Sunset Park,,355,20241205,grid
F04751,ridgewood,Bodega Grande,532,20210322,Grid
F02340,Ridgewood,Mutual Aid NYC,388,20201223,GRID
F00872,Bushwick, CORNER DELI ,"1,598",20210312,grid
F04649,Mott Haven,St. Marks Church,"1,502",20181025,generator
F00686,Sunset Park,corner deli,552,20220115,solar
F02152,ridgewood,Bodega Grande,"1,803",20180221,grid
F01469,Flatbush,green grocer,947,20220601,SOLAR
F02707,Crown Heights,corner deli,"1,094",20230412,GRID
F02713,Jackson Heights,The Bakery,392,20200917,grid
F00707,Bedford-Stuyvesant, CORNER DELI ,61,20240925,generator
F00390,Harlem,Community Garden,437,20221224,solar
F01340,jackson hts, CORNER DELI ,"1,198",20221003,GRID
F01056,Jackson Heights,mutual aid nyc,180,20210120,SOLAR
F03717,sunset park,Community Garden,878,20230709,grid
F04820,Harlem,Mutual Aid NYC,"1,616",20220317,grid
F01509,Jackson Heights,corner deli,"1,126",20240401,SOLAR
F04111,Sunset Park,,"1,648",20221122,GRID
F00963,mott haven,The Bakery,327,20240320,Grid
F04568,Bedford-Stuyvesant,Community Garden,"1,966",20231019,grid
F02570,Bedford-Stuyvesant,bodega grande,89,20211115,generator
F01270,harlem,Green Grocer,721,20180809,generator
F02689,Bushwick,green grocer,536,20180510,Generator
F03205,bushwick,The Bakery,"1,491",20240809,solar
F03396,jackson hts,green grocer,365,20190301,generator
F01891,Flatbush,St. Marks Church,306,20220127,SOLAR
F03763,Bedford-Stuyvesant,green grocer,"1,159",20240514,SOLAR
F03698,Crown Heights,green grocer,"1,634",20220803,Generator
F02769,Ridgewood,Green Grocer,231,20230511,GRID
F03899,Sunset Park,bodega grande,134,20220315,GRID
F03836,Jackson Heights,corner deli,932,20240827,Generator
F02852,crown hts,community garden,156,20230312,solar
F03791,ridgewood,bodega grande,"1,996",20211215,grid
F02273,Mott Haven,the bakery,"1,601",20190301,SOLAR
F00778,Harlem, CORNER DELI ,49,20220103,Solar
F02667,Mott Haven,Mutual Aid NYC,626,20190923,Grid
F02359,Jackson Heights,bodega grande,63,20230702,Generator
F00135,sunset park,Corner Deli,"1,973",20221021,SOLAR
F04850,crown hts,Bodega Grande,999999,20180114,generator
F03346, Bushwick ,st. marks church,999999,20240926,grid
F02466,mott haven,bodega grande,"1,023",20210104,Grid
F02761,Bed-Stuy,corner deli,797,20181112,generator
F04796,Sunset Park,bodega grande,"1,549",20210420,SOLAR
F02414,Mott Haven,The Bakery,636,20190202,grid
F02710,Crown Heights,community garden,701,20241224,SOLAR
F01003,Bed-Stuy,The Bakery,"1,582",20230322,solar
F00245,crown hts,Bodega Grande,"1,677",20201223,generator
F01401,Mott Haven,Green Grocer,"1,529",20200120,Grid
F02647,Mott Haven, CORNER DELI ,"1,305",20230705,solar
F00589, Bushwick ,,128,20200304,Solar
F02936,Crown Heights,mutual aid nyc,471,20190103,Solar
F03343,Sunset Park,,48,17760227,Solar
F02664,sunset park,the bakery,279,20210822,grid
F04026,Crown Heights,,999999,20241103,Generator
F01166,Ridgewood,community garden,308,20190718,Generator
F00359,Harlem,corner deli,"1,823",20231104,solar
F03150, Bushwick ,community garden,"1,803",20190819,Generator
F03103,jackson hts,The Bakery,917,20190425,grid
F03887,Bed-Stuy,St. Marks Church,179,20240327,Solar
F01969,Mott Haven,Green Grocer,701,20220705,solar
F02907,bushwick, CORNER DELI ,"1,371",20230122,Generator
F01869,bed-stuy,Corner Deli,266,20230905,SOLAR
F01055, Bushwick ,bodega grande,"1,167",17760528,solar
F00664,Ridgewood, CORNER DELI ,"1,090",20190920,GRID
F02973,Sunset Park,green grocer,"1,398",20180906,Solar
F01217,Crown Heights,Corner Deli,318,20220828,GRID
F03173,Bed-Stuy,The Bakery,818,20241208,Grid
F03435,sunset park,Green Grocer,"1,004",20220823,generator
F01273,Crown Heights,St. Marks Church,"1,959",20180925,GRID
F04874, Bushwick ,Bodega Grande,"1,295",20230101,GRID
F02062,sunset park,corner deli,,20190224,Generator
F01554,bed-stuy,corner deli,616,20240704,SOLAR
F03444, Bushwick ,community garden,"1,044",20200608,Grid
F03643,Sunset Park,Corner Deli,"1,460",20211217,generator
F03408,harlem,St. Marks Church,"1,026",20240311,grid
F02257,bushwick,the bakery,"1,780",20190603,grid
F01278,ridgewood,community garden,"1,455",20210601,Grid
F00168, Bushwick ,corner deli,"1,256",20230718,Generator
F03244,Sunset Park,St. Marks Church,606,20180918,solar
F01991,flatbush , CORNER DELI ,"1,070",20241108,solar
F03759,mott haven,Community Garden,508,20181020,GRID
F04781,jackson hts,green grocer,"1,423",20180528,Generator
F01167,ridgewood,Green Grocer,"1,400",20210116,generator
F03995,mott haven,corner deli,"1,674",20220412,Solar
F01253,ridgewood,green grocer,175,20211026,Grid
F02696,Jackson Heights,the bakery,880,20180901,grid
F03050,Mott Haven, CORNER DELI ,"1,510",20200817,solar
F01343,Bedford-Stuyvesant,mutual aid nyc,"1,133",20190816,Solar
F04844,flatbush ,Mutual Aid NYC,"1,210",20190723,solar
F01978,Crown Heights, CORNER DELI ,455,20241202,SOLAR
F02529,crown hts,st. marks church,613,20190813,solar
F03607,Ridgewood,the bakery,577,20190802,Grid
F00151,Harlem,Corner Deli,587,20230316,SOLAR
F04810,crown hts,bodega grande,207,20230218,solar
F01211,Bushwick,bodega grande,758,20190411,grid
F01098,Ridgewood,green grocer,856,20210615,solar
F02045,harlem,St. Marks Church,"1,288",20240825,Grid
F01236,Bed-Stuy,community garden,159,20190817,Grid
F03037,harlem,bodega grande,520,20200401,solar
F02245,crown hts,Green Grocer,999999,20210127,Solar
