m_id,nbhd,artst,med,sz,yr,dt
M03352,lower east side, BANKSY ,spraypaint,"2,477",2017,20171222
M03325,harlem,lady pink,spraypaint,"2,313",2014,20140124
M03032,lower east side,jane q. public,Wheatpaste,"7,606",2007,20070504
M04445,the bronx,Lady Pink,Acrylic,"2,577",2008,20080513
M02305,BUSHWICK,Futura,mosaic,176,2010,20100916
M01575,Astoria,Os Gemeos,Acrylic,"4,732",2005,20050704
M03487,williamsburg,Lady Pink,aerosol,"2,402",2008,20081205
M02908,Bushwick,cost,acrylic,"3,461",2013,20130718
M00247,SoHo,COST,spraypaint,671,2021,20211006
M04417,LES, BANKSY ,mosaic,"7,876",2020,20200113
M04186,soho,KAWS,Aerosol,"7,905",2016,20160613
M03766,SoHo,lady pink,Spray Paint,"3,132",2022,20220727
M04315,LES,Os Gemeos,Spray Paint,678,2019,20190503
M01444,BUSHWICK,Os Gemeos,wheatpaste,"1,737",2019,20190302
M03881,Chelsea,banksy,acrylic,"2,482",2022,20220814
M04333,Bronx,Shepard Fairey,Acrylic,"1,058",2015,20150418
M02592,Long Island City,cost,Wheatpaste,"6,171",2014,20140605
M02677,Long Island City,futura,Acrylic,"2,604",2018,20180314
M00092,LIC,COST,Acrylic,"3,075",2019,20190222
M02642,soho,banksy,spray paint,357,2010,20101019
M03651,soho,Lady Pink,acrylic,186,2016,20161011
M04630,Bushwick,Banksy,spray paint,"2,123",2008,20080501
M03388,Bronx,COST,Mosaic,"2,871",2012,20121103
M02573,lower east side,Lady Pink,wheatpaste,"1,626",2012,20120224
M02430,harlem,Shepard Fairey,acrylic,"4,276",2012,20121119
M03872,LIC,jane q. public,wheatpaste,"3,377",2018,20180916
M00624,LES,lady pink,acrylic,"3,917",2016,20160310
M00358,chelsea ,futura,Aerosol,366,2015,20151127
M01059,harlem,cost,acrylic,"2,031",2020,20200125
M00846,Bronx,Os Gemeos,aerosol,307,2018,20180913
M02130,soho,futura,wheatpaste,"3,404",,20190306
M02154,Lower East Side,Futura,Aerosol,"6,804",2020,20200926
M00409,LIC,banksy,mosaic,788,2015,20151102
M01008,lower east side,Futura,Spray Paint,"5,666",2011,20110823
M02236,lower east side,Faith47,Wheatpaste,"6,163",2006,20061121
M00777,soho,Os Gemeos,Aerosol,"3,097",,20150928
M00365,Astoria,shepard fairey,Wheatpaste,"4,878",2017,20170417
M03922,astoria,Lady Pink,Spray Paint,496,2011,20111111
M00440,Astoria,Banksy,mosaic,"4,605",2008,20080324
M02525,bushwick,cost,aerosol,"7,004",2011,20110112
M04737,chelsea ,jane q. public,aerosol,"6,131",2009,20090418
M04806,LIC,,wheatpaste,"2,306",2023,20230118
M03360,Bushwick,futura,Mosaic,899,2009,20090827
M02992,BUSHWICK,Futura,Mosaic,"2,158",2009,20090322
M03644,lower east side, BANKSY ,spraypaint,"6,005",2009,20090226
M00860,Astoria,lady pink,acrylic,"2,342",2008,20080506
M02161,harlem,cost,Acrylic,"3,306",,20191024
M00851,Bushwick,Banksy,Mosaic,"5,178",,20220203
M02240,harlem,Futura,Mosaic,"6,424",2005,20050822
M03719,Long Island City, BANKSY ,acrylic,999999,2016,20160127
M02311,Harlem,futura,Mosaic,"5,909",2006,20060227
M01624,Lower East Side,kaws,Wheatpaste,"5,444",2007,20070203
M04886,astoria,banksy,Spray Paint,"1,595",2005,20050822
M01706,bushwick,jane q. public,wheatpaste,"4,671",2019,20190514
M03266,Chelsea,KAWS,Aerosol,"5,844",2019,20190714
M02806,Bushwick,Lady Pink,Aerosol,"1,752",2099,20180707
M02140,BUSHWICK,Shepard Fairey,Wheatpaste,"7,797",2010,20101013
M00103,Long Island City,Jane Q. Public,Acrylic,"2,908",,20160426
M03747,SoHo,faith47,Spray Paint,"7,282",2018,20180621
M02195,Harlem,futura,Acrylic,"4,434",2018,20180422
M01926,Long Island City,Jane Q. Public,Mosaic,495,2012,20121016
M03855,bushwick,Lady Pink,aerosol,"5,166",2020,20200711
M01982,Lower East Side,Faith47,Acrylic,,2022,20220211
M01852,harlem,KAWS,Wheatpaste,"4,890",2005,20051024
M02203,Harlem,Os Gemeos,Aerosol,"5,751",2014,20140318
M04396,Chelsea,Banksy,aerosol,"3,512",2009,20090814
M02688,Chelsea,Banksy,spraypaint,"4,723",2006,20060724
M01827,the bronx,futura,Mosaic,"2,696",2010,20100311
M04656,Harlem,KAWS,aerosol,"3,131",2014,20140212
M03705,chelsea ,Jane Q. Public,wheatpaste,505,2022,20220124
M03372,Bushwick,os gemeos,Mosaic,984,2005,20050516
M03890,the bronx,,Acrylic,149,,20160228
M02309,the bronx,faith47,mosaic,"7,299",2007,20070913
M01177, Bushwick ,Jane Q. Public,wheatpaste,-50,2014,20140522
M04708,bushwick,kaws,spraypaint,-50,2021,20211012
M02606,Lower East Side,jane q. public,acrylic,"5,116",2021,20210917
M02923, Bushwick ,lady pink,wheatpaste,"6,721",2016,20161019
M01190,williamsburg,lady pink,acrylic,"4,338",2017,20170227
M00080,LES,banksy,Aerosol,"7,188",2010,20100111
M01558,soho,,acrylic,"7,466",2023,20231011
M04634,LIC,cost,spraypaint,"5,377",2005,20050217
M02927, Bushwick ,Banksy,Spray Paint,"7,485",2011,20110921
M01687,harlem,Jane Q. Public,aerosol,551,2017,20170825
M02156,astoria,Banksy,Wheatpaste,999999,2023,20231227
M02604,Bronx,KAWS,Aerosol,999999,2010,20100216
M04016, Bushwick ,Banksy,Acrylic,"7,278",2013,20130720
M01635,williamsburg,Jane Q. Public,wheatpaste,"1,847",2006,20060519
M02822,Long Island City,Jane Q. Public,wheatpaste,"3,817",2016,20160605
M04727,williamsburg,faith47,wheatpaste,,2019,20190126
M02441,chelsea ,,spray paint,"6,008",2017,20170405
M01923,soho,Futura,spray paint,"1,242",2007,20071122
M04166,BUSHWICK,banksy,Aerosol,"5,133",2009,20090328
M00786,williamsburg,shepard fairey,wheatpaste,"6,762",2020,20201224
M01423,Long Island City,cost,wheatpaste,"5,626",2014,20141013
M01393,Chelsea,Jane Q. Public,aerosol,"2,826",2020,20200808
M00950,Williamsburg,,spraypaint,"7,390",2021,20210613
M03900,Long Island City, BANKSY ,Acrylic,"5,079",2008,20080903
M01996,Lower East Side,os gemeos,Aerosol,"5,266",2020,20201016
M03217,harlem,Os Gemeos,aerosol,76,2016,20160911
M02835,Williamsburg,os gemeos,Wheatpaste,"3,056",2021,20210925
M00423,soho,Futura,Aerosol,349,2009,20091008
M01023,SoHo,os gemeos,Aerosol,"5,595",2005,20050722
M02848,harlem,lady pink,Wheatpaste,"6,931",2006,20060120
M01974,Harlem,jane q. public,spray paint,316,2017,20170126
M04481,BUSHWICK,shepard fairey,spray paint,"2,224",2017,20170818
M01294,the bronx,KAWS,acrylic,"2,252",2008,20080925
M01457,Bushwick,banksy,aerosol,945,2006,20060904
M03996,Long Island City,,Aerosol,"5,203",2014,20140716
M04182,Astoria,Futura,Aerosol,"5,807",2008,20080806
M01219,soho,Lady Pink,acrylic,"6,604",2006,20060916
M00442,Bronx,shepard fairey,wheatpaste,"1,942",2005,20050805
M02131,lower east side,Jane Q. Public,mosaic,"3,372",1776,20180319
M00986,LIC,lady pink,spraypaint,"5,825",2014,20140220
M00331,the bronx,Jane Q. Public,spray paint,"4,814",2018,20180910
M04687,LES,Lady Pink,Aerosol,"1,997",2008,20081120
M01285,Harlem,Shepard Fairey,Acrylic,"5,213",2015,20150104
M00257,Lower East Side,banksy,aerosol,"3,835",2008,20080527
M03982,astoria,shepard fairey,Acrylic,"5,834",2023,20231106
M01329,BUSHWICK,Jane Q. Public,spraypaint,"7,513",2016,20160527
M04584,soho,Faith47,Acrylic,"3,119",2022,20220504
M04556,lower east side,Jane Q. Public,mosaic,"2,642",2016,20160504
M03236,Bushwick,Faith47,wheatpaste,"1,703",2010,20100411
M02179,the bronx,Shepard Fairey,Spray Paint,"7,113",2005,20050814
M03789,Long Island City,Futura,spraypaint,"6,986",2021,20211103
M02094,Lower East Side,faith47,aerosol,"7,330",2008,20080127
M00269,soho,Os Gemeos,mosaic,"4,351",2007,20070719
M04197,lower east side, BANKSY ,spray paint,"4,309",2012,20121126
M00961,astoria,Os Gemeos,spraypaint,"6,224",2018,20181114
M01220,lower east side,Futura,spray paint,"3,535",2009,20090816
M01184,Williamsburg,futura,aerosol,,2017,20170110
M00926,harlem,os gemeos,spray paint,"6,932",2012,20120212
M02058, Bushwick ,Jane Q. Public,Aerosol,"1,331",2012,20121014
M03340,Astoria,Lady Pink,Acrylic,400,2008,20081209
M01297,BUSHWICK,Shepard Fairey,wheatpaste,"3,582",2021,20210307
M00702,Williamsburg,lady pink,spray paint,"4,751",2023,20230809
M03495,chelsea ,Shepard Fairey,acrylic,"4,279",2006,20060909
M03287,bushwick,cost,spray paint,"7,645",2005,20050312
M00404,bushwick, BANKSY ,spraypaint,"2,592",2020,20200111
M02421,SoHo,jane q. public,Aerosol,-50,2008,20081119
M01969,Astoria,Banksy,Spray Paint,"1,192",2012,20120209
M01509,Williamsburg,os gemeos,aerosol,"3,867",2009,20090204
M01864,williamsburg,lady pink,Acrylic,"7,276",2021,20210917
M00725,astoria,futura,Mosaic,"6,256",2014,20141206
M01179,Lower East Side,futura,Acrylic,"7,495",2015,20150826
M03300,Williamsburg,cost,wheatpaste,"7,010",2022,20220618
M03425,Harlem,lady pink,Spray Paint,"2,450",2009,20091020
M01552,BUSHWICK,faith47,mosaic,"6,727",2013,20130820
M02569,harlem,shepard fairey,spraypaint,"4,763",2006,20060101
M04419,LES,kaws,wheatpaste,"6,127",2014,20141026
M01071,astoria,cost,spray paint,"7,575",2016,20160804
M01863,Chelsea,faith47,acrylic,"4,612",2008,20080106
M03111,SoHo,Os Gemeos,Spray Paint,697,2022,20221002
M02830,Lower East Side,Os Gemeos,Acrylic,"4,260",2018,20181012
M01142, Bushwick ,banksy,spraypaint,,,20050612
M03342,Bronx,COST,Acrylic,"6,466",2005,20051209
M00464,SoHo,faith47,spray paint,"1,399",2017,20170523
M03207,astoria,faith47,wheatpaste,,,20050704
M03466,soho, BANKSY ,acrylic,"5,064",2013,20130605
M04228,lower east side,Os Gemeos,mosaic,"3,833",2018,20180314
M03021,LES,shepard fairey,wheatpaste,632,1776,20180615
M03354,Bushwick,cost,aerosol,"7,146",2023,20230613
M02812,LIC,COST,Wheatpaste,"3,080",2020,20200601
M02968,Astoria,KAWS,Mosaic,"4,442",2013,20131210
M04701,Astoria,Banksy,mosaic,"2,894",2021,20211108
M01119,LES,Os Gemeos,Aerosol,"5,654",2018,20180606
M03458,bushwick,faith47,Wheatpaste,"4,737",2005,20050610
M04457,chelsea ,Os Gemeos,Aerosol,"4,029",2016,20160512
M01139,Lower East Side,Banksy,spraypaint,"4,165",2011,20110119
M04878,williamsburg,kaws,aerosol,"5,883",2006,20061110
M02818,soho,faith47,Wheatpaste,,2021,20210414
M01337,Bushwick,,mosaic,,,20070322
M02647,LES,Jane Q. Public,Aerosol,"4,974",2022,20221013
M01595,Bushwick,Shepard Fairey,Mosaic,"6,666",2007,20071117
M03999,bushwick,KAWS,Mosaic,"7,082",2010,20100908
M01928,the bronx,Jane Q. Public,Spray Paint,"3,921",2099,20181014
M04521,lower east side,Banksy,wheatpaste,"4,150",2015,20150225
M02973, Bushwick ,Faith47,Acrylic,"4,737",2017,20170801
M00585,Williamsburg,Jane Q. Public,aerosol,"6,648",2023,20231208
M01958,soho,Jane Q. Public,spraypaint,"2,619",,20170704
M04300,the bronx,futura,Wheatpaste,"1,323",2007,20070311
M02506,Long Island City,faith47,spray paint,"7,944",2015,20151102
M03640,chelsea ,COST,acrylic,"7,965",2010,20100111
M04027,Astoria,os gemeos,mosaic,"4,918",2005,20051219
M01204,Astoria,banksy,wheatpaste,"5,538",2011,20110121
M03948,Bushwick, BANKSY ,Aerosol,,2019,20190413
M02783,soho,shepard fairey,Wheatpaste,"2,825",2013,20130204
M02493,BUSHWICK,jane q. public,spray paint,139,2012,20120115
M02967,lower east side,Lady Pink,Aerosol,"6,339",2014,20140226
M02320,SoHo,lady pink,Wheatpaste,"6,447",2023,20230117
M01434,harlem,cost,Aerosol,"4,046",2019,20190406
M01460,the bronx,Faith47,mosaic,872,2019,20190127
M02727,bushwick,COST,Mosaic,"3,363",2010,20100222
M01020,williamsburg,cost,spray paint,"3,168",2007,20070514
M01226,Harlem,Futura,acrylic,"4,337",2023,20230311
M00935,Chelsea,faith47,spray paint,446,2006,20060819
M00307,lower east side,,spraypaint,"3,592",2009,20090625
M03825,Chelsea,banksy,aerosol,"7,357",2014,20141126
M01474,LIC,KAWS,Acrylic,"1,240",2007,20071227
M01109,harlem,Shepard Fairey,aerosol,"1,881",2006,20060501
M02279,the bronx,Jane Q. Public,wheatpaste,"5,635",2014,20140620
M02581,lower east side,shepard fairey,spraypaint,"1,294",2009,20091005
M00035,Astoria,lady pink,mosaic,"1,597",1776,20180922
M04550,BUSHWICK,Faith47,Acrylic,"5,564",2005,20050317
M04137,bushwick,banksy,spray paint,233,2005,20050608
M02547,BUSHWICK,jane q. public,Mosaic,"5,850",2017,20170409
M04846,the bronx,Lady Pink,acrylic,"3,064",2016,20160516
M02708,Long Island City,jane q. public,wheatpaste,"4,350",2011,20110420
M02709,the bronx,Os Gemeos,wheatpaste,"7,105",2011,20110406
M01903,Bronx,banksy,Spray Paint,"1,202",2099,20180825
M01276,bushwick,kaws,Spray Paint,"5,496",2006,20060202
M01385,Long Island City,Lady Pink,wheatpaste,794,,20200702
M04208,astoria,COST,aerosol,309,2023,20230516
M04493,Chelsea,kaws,mosaic,"6,368",2015,20151118
M00965,Chelsea,faith47,mosaic,"1,098",2005,20050703
M03453,bushwick,Faith47,wheatpaste,"1,413",2016,20160503
M03269,harlem,KAWS,acrylic,"3,293",2022,20221026
M02646,soho,Faith47,wheatpaste,"5,112",2011,20110103
M01562,harlem,COST,mosaic,"7,866",2015,20150318
M03552, Bushwick , BANKSY ,spray paint,"6,596",2005,20050403
M04863,Long Island City,cost,acrylic,,2099,20180706
M00877,SoHo,jane q. public,mosaic,-50,2019,20191117
M03292,williamsburg,jane q. public,Acrylic,"7,296",2015,20150726
M04188,bushwick,Os Gemeos,Mosaic,"4,639",2006,20060402
M02001,the bronx,Faith47,Spray Paint,"3,806",2022,20220604
M03478,Bronx,cost,acrylic,,2010,20100311
M02861,harlem,lady pink,Mosaic,"6,172",2018,20181009
M02775,astoria,futura,aerosol,"7,806",2009,20090316
M00630,LES,Os Gemeos,aerosol,907,2008,20080206
M02600, Bushwick ,kaws,Mosaic,"5,994",2012,20120627
M01222,LES,Banksy,Acrylic,"1,387",2023,20231214
M04822,Long Island City,faith47,Mosaic,"2,060",2023,20231102
M02915,soho,jane q. public,aerosol,"1,220",2023,20230225
M04126,soho,faith47,Wheatpaste,"6,955",2010,20101212
M04639,lower east side,Futura,spraypaint,"5,896",2014,20140506
M04190, Bushwick ,banksy,acrylic,"5,162",2011,20110425
M03488,chelsea ,Faith47,aerosol,"4,330",2020,20201219
M03527,LIC,Faith47,spray paint,"7,835",2007,20070520
M02391,Bronx,faith47,Spray Paint,"6,914",1776,20180426
M03196,harlem,cost,Spray Paint,"6,711",2015,20150728
M03784,lower east side,,wheatpaste,"6,631",2011,20111006
M04775,Williamsburg,lady pink,Spray Paint,"5,095",2021,20210904
M04502,Astoria,Banksy,wheatpaste,999999,2005,20051023
M02539,Bronx,banksy,Aerosol,"1,621",2019,20190524
M00811,Williamsburg, BANKSY ,spray paint,"6,737",2008,20080609
M00699,Harlem,Banksy,spraypaint,803,2022,20221016
M00550,williamsburg,Os Gemeos,wheatpaste,"2,414",2007,20070325
M02704,astoria,jane q. public,aerosol,715,2020,20200109
M03413,Bronx, BANKSY ,mosaic,"4,660",2019,20191108
M01121,Bushwick,shepard fairey,spray paint,"5,005",2022,20220301
M00954,Astoria,Os Gemeos,acrylic,"6,037",2009,20090223
M04000,Lower East Side,COST,aerosol,"3,517",2022,20220716
M00291, Bushwick ,cost,Wheatpaste,310,2016,20160817
M04480,Harlem,futura,mosaic,"1,929",2018,20180210
M01793,Chelsea,Futura,mosaic,"4,129",2011,20110309
M04187,BUSHWICK,Jane Q. Public,mosaic,"6,784",2022,20221228
M04263,SoHo,Shepard Fairey,spraypaint,"2,524",2023,20231106
M02685,LIC,shepard fairey,Acrylic,"1,452",2014,20141227
M03935,the bronx,futura,spray paint,"3,034",2009,20090307
M03215, Bushwick ,Banksy,Acrylic,"4,546",2019,20191107
M04364,LES,Jane Q. Public,Mosaic,"3,059",2009,20091015
M04338,chelsea ,shepard fairey,mosaic,890,2009,20091213
M00403,BUSHWICK,Banksy,aerosol,"4,422",2008,20080824
M03698,astoria, BANKSY ,Mosaic,,2009,20091222
M02972,Long Island City,jane q. public,acrylic,"1,791",2006,20060904
M03092,Harlem,cost,mosaic,"5,694",2023,20230215
M03802,Williamsburg,lady pink,spraypaint,"7,858",2020,20201123
M04861,Bushwick,Banksy,aerosol,"3,094",2014,20140611
M03630,SoHo,jane q. public,Mosaic,"5,277",2006,20060305
M04421, Bushwick ,lady pink,Mosaic,"6,297",2016,20160727
M03408,chelsea ,jane q. public,spray paint,"6,939",2014,20140224
M00456,the bronx,shepard fairey,Mosaic,"6,948",2014,20140511
M00452,Bronx,lady pink,wheatpaste,140,2099,20180808
M01143,BUSHWICK,,Acrylic,518,2023,20231102
M03225,Astoria,COST,spray paint,"2,659",2014,20140121
M02691,williamsburg,,aerosol,"4,363",2018,20180725
M04040,chelsea ,lady pink,Spray Paint,"6,960",2021,20210501
M01600,Bushwick,Os Gemeos,aerosol,"6,483",2023,20230806
M01517,chelsea ,kaws,Mosaic,"4,155",2013,20131019
M04002,LIC,Banksy,aerosol,"6,810",2011,20110104
M02648,lower east side,lady pink,mosaic,"5,578",2023,20231107
M04406,SoHo,Futura,spraypaint,"5,517",2013,20131208
M00386,Harlem,Shepard Fairey,Mosaic,"4,533",2013,20130606
M01857,astoria,Jane Q. Public,Spray Paint,"3,305",,20080120
M01132,Lower East Side,Futura,Wheatpaste,410,2011,20110501
M04571,williamsburg,,Aerosol,964,2011,20110527
M01384,Williamsburg,cost,Mosaic,"3,666",2017,20170805
M00529,LES,Futura,mosaic,"1,994",2020,20201207
M00750,Harlem,faith47,spraypaint,"5,827",2011,20110702
M02135,Bushwick,banksy,acrylic,"4,686",2009,20090523
M02355,chelsea ,os gemeos,spray paint,"3,578",2020,20201006
M03653,astoria,Jane Q. Public,Spray Paint,"5,488",2014,20140703
M03520,LIC,KAWS,spray paint,"6,557",2014,20140916
M01462,lower east side,lady pink,wheatpaste,"4,104",2008,20081126
M03936,LES,Futura,Acrylic,"6,550",2012,20120613
M01356,Astoria,jane q. public,Acrylic,"7,561",2021,20210704
M01208,LIC,faith47,Acrylic,"7,328",2021,20210320
M04729, Bushwick ,jane q. public,Acrylic,"6,026",2015,20150409
M02664,SoHo,Os Gemeos,Spray Paint,"3,978",2008,20080117
M03782,SoHo, BANKSY ,Acrylic,"7,670",2012,20120614
M00807,Bushwick,KAWS,Spray Paint,"2,558",2009,20090521
M02615,the bronx,KAWS,Wheatpaste,"5,845",2007,20071128
M02399,chelsea ,KAWS,spray paint,"2,202",2099,20180909
M01259,harlem,Faith47,Mosaic,"1,805",2009,20091205
M03774,williamsburg,KAWS,spraypaint,"4,464",2023,20230125
M00192,williamsburg,Shepard Fairey,acrylic,"2,053",2015,20151221
M03234,SoHo,shepard fairey,mosaic,"7,046",2016,20161204
M00373,lower east side,banksy,Mosaic,"1,230",2018,20180603
M01435,Bushwick,kaws,acrylic,"2,119",2020,20200315
M04843,Bronx,banksy,acrylic,"6,814",2022,20220101
M01916,chelsea ,kaws,Aerosol,"6,392",2021,20210312
M01943,Long Island City,Shepard Fairey,spray paint,"4,195",2018,20181018
M02678,LIC,Faith47,Wheatpaste,"7,021",2007,20070205
M04671,Chelsea,cost,spraypaint,"6,424",2017,20170117
M00089,Long Island City,KAWS,mosaic,"3,161",2016,20160120
M03172,Chelsea,lady pink,spraypaint,"2,868",2010,20101128
M03234,SoHo,shepard fairey,mosaic,"7,046",2016,20161204
M04495,the bronx,Banksy,wheatpaste,"2,871",2022,20221125
M04461,BUSHWICK,banksy,Acrylic,96,2005,20050222
M01534,Lower East Side,jane q. public,mosaic,"6,274",2023,20230226
M01112,chelsea ,Futura,Acrylic,"1,962",2016,20160628
M00844,soho,Jane Q. Public,Wheatpaste,"4,568",2022,20221123
M00220,chelsea ,Faith47,wheatpaste,"5,047",2008,20081006
M02378,Harlem,Os Gemeos,wheatpaste,"5,669",2006,20061118
M03858,williamsburg,COST,Acrylic,700,2009,20090107
M00115,LIC,Faith47,Spray Paint,"2,923",2014,20140627
M01002,LES,Os Gemeos,spraypaint,"2,979",2005,20050621
M02765,LIC,Lady Pink,spraypaint,"4,407",2020,20200510
M02632,Chelsea, BANKSY ,spray paint,"2,069",2022,20220925
M02015,Chelsea,os gemeos,wheatpaste,340,2006,20060825
M04547,Astoria,kaws,acrylic,"3,420",2023,20230103
M02190,Long Island City,lady pink,Mosaic,228,2016,20160428
M02098,LIC,Lady Pink,Spray Paint,"3,398",2014,20140902
M02778,LES,cost,Mosaic,,2020,20200413
M01079,williamsburg,shepard fairey,spraypaint,"7,183",2018,20181024
M04575,Astoria,cost,Acrylic,"1,503",2006,20060520
M04214,LIC,Banksy,Wheatpaste,"3,081",2014,20140811
M03134,lower east side,banksy,Acrylic,"3,444",2021,20210206
M01338,BUSHWICK,kaws,Spray Paint,"5,486",2005,20051226
M02928,Chelsea,Faith47,spraypaint,"1,823",,20170308
M01187,Lower East Side,cost,spraypaint,"3,061",2017,20171111
M04339,Chelsea,cost,Wheatpaste,"6,770",2011,20110211
M02324,soho,cost,spray paint,"5,303",2009,20090701
M01314,Astoria,futura,spray paint,"1,580",2012,20120702
M00321,Lower East Side,Shepard Fairey,acrylic,"3,343",2007,20070803
M01165,harlem,Jane Q. Public,Wheatpaste,"7,560",2007,20070201
M04399,Williamsburg,kaws,Acrylic,"3,694",2022,20220717
M04206,soho,lady pink,aerosol,"5,046",2010,20100228
M00091,Long Island City,Os Gemeos,acrylic,"3,079",2022,20220314
M02824,astoria,Futura,spray paint,"1,392",2016,20160501
M03107,Harlem,Banksy,Mosaic,129,2007,20070409
M00765,LIC,lady pink,Spray Paint,"3,317",2013,20130318
M00026,SoHo,Os Gemeos,spraypaint,"5,050",2021,20210522
M00835,Bronx,Shepard Fairey,aerosol,"7,597",2018,20180611
M01565,harlem,,mosaic,"1,066",2011,20110510
M02125,Astoria,os gemeos,Aerosol,"4,665",2009,20090207
M01317,SoHo,os gemeos,Spray Paint,-50,2012,20120917
M04335,Harlem,Jane Q. Public,Aerosol,"7,384",2010,20100807
M04735,SoHo,cost,Spray Paint,"4,505",,20190603
M00045,Chelsea,cost,Mosaic,"7,790",2099,20180610
M04321,the bronx,Futura,wheatpaste,"5,293",2014,20140811
M03840,Harlem,jane q. public,spray paint,"2,434",2018,20181213
M04051,Lower East Side,futura,aerosol,"4,405",2009,20090103
M01616,Chelsea,KAWS,Wheatpaste,"1,317",2016,20160908
M03703,Williamsburg,faith47,Mosaic,"5,325",2017,20170206
M01696,Williamsburg,jane q. public,Aerosol,"2,853",2013,20130125
M00569,Bronx,Faith47,Mosaic,"5,441",2014,20140705
M02683, Bushwick ,kaws,Spray Paint,"5,570",2013,20130116
M00081,chelsea ,Futura,acrylic,"4,676",2010,20100720
M02145,the bronx,Os Gemeos,Aerosol,"2,824",2011,20111121
M00696,Astoria,Futura,Mosaic,"7,197",2005,20050611
M02956,Chelsea,shepard fairey,wheatpaste,"5,712",2007,20070223
M04883,Long Island City,Banksy,spraypaint,609,2009,20090712
M04860,williamsburg,Futura,Spray Paint,"6,009",2015,20150620
M00595,lower east side,Lady Pink,spray paint,"5,173",2007,20071228
M00283,bushwick,lady pink,spraypaint,"1,025",2019,20190426
M04525,Williamsburg,COST,Acrylic,"7,842",2009,20090408
M03776,williamsburg,Jane Q. Public,Wheatpaste,"1,411",2021,20210211
M04489,chelsea ,os gemeos,Acrylic,"7,593",2011,20110802
M03054,Bushwick,Banksy,wheatpaste,240,1776,20180403
M04171,LIC,shepard fairey,mosaic,546,2017,20170107
M01450,Williamsburg,jane q. public,Spray Paint,"4,924",2023,20230208
M00449,LES,jane q. public,Wheatpaste,778,2010,20100223
M02925,BUSHWICK,Faith47,Acrylic,"2,556",2021,20210712
M03810,Bushwick,Os Gemeos,Wheatpaste,"4,618",2005,20051020
M03818,LES,Faith47,Wheatpaste,"5,562",2005,20050601
M04667,Long Island City,kaws,Spray Paint,,2020,20201024
M01117,Long Island City,Os Gemeos,Spray Paint,"5,621",2005,20050619
M00737,Lower East Side,COST,Wheatpaste,"7,921",2020,20200711
M00638,Astoria,Futura,Aerosol,"6,241",2005,20051009
M03614,BUSHWICK,jane q. public,aerosol,697,2015,20150208
M04540,Lower East Side,COST,aerosol,"7,541",2006,20060307
M03679,LIC,Futura,Spray Paint,906,2023,20230903
M00139,astoria,os gemeos,Wheatpaste,"1,973",2016,20160120
M01331,Lower East Side,kaws,wheatpaste,"5,771",2013,20131117
M00749,the bronx,faith47,Aerosol,"5,610",2014,20141202
M04255,the bronx,Lady Pink,Spray Paint,"3,035",2022,20220708
M01767,soho,jane q. public,wheatpaste,,2012,20120221
M03382,chelsea ,KAWS,spray paint,"1,635",2016,20161022
M03002,Chelsea,lady pink,Spray Paint,"3,942",2099,20181018
M00414,BUSHWICK,,Wheatpaste,"6,312",2014,20140204
M04070,LES,Banksy,wheatpaste,"6,397",2017,20170822
M02220,Chelsea,Os Gemeos,wheatpaste,"6,131",2021,20210306
M02732,williamsburg,Banksy,spray paint,"5,898",2005,20050611
M03230,the bronx,cost,spraypaint,"2,246",2009,20091117
M04638,Harlem,Banksy,Spray Paint,"6,118",2013,20131111
M02318,Williamsburg,shepard fairey,Wheatpaste,"6,169",2017,20170125
M01884,soho,Jane Q. Public,Spray Paint,"3,947",2013,20130828
M01664,bushwick, BANKSY ,acrylic,"2,879",2022,20221002
M00427,Williamsburg,cost,spraypaint,"7,994",2023,20230526
M03892,williamsburg,Jane Q. Public,wheatpaste,"1,306",2011,20110903
M02283,LIC,Futura,Acrylic,"1,452",2014,20141114
M01380,Long Island City,shepard fairey,Mosaic,"6,860",2099,20181128
M03620,williamsburg,Futura,Acrylic,"2,262",2005,20050504
M02901,Bronx,os gemeos,Acrylic,"6,304",2022,20220717
M00761, Bushwick ,banksy,Spray Paint,360,2011,20110528
M04286,LIC,COST,wheatpaste,"7,410",2005,20051026
M00063,BUSHWICK,lady pink,Aerosol,"3,552",2006,20060421
M02577,Williamsburg,kaws,mosaic,"4,573",2014,20140617
M00258,Chelsea,jane q. public,Acrylic,"3,286",2014,20140113
M03068,LIC,cost,mosaic,"2,016",2018,20181210
M00396,bushwick,Lady Pink,spray paint,"1,918",2014,20140927
M03147,Bronx, BANKSY ,Wheatpaste,"6,739",2014,20141102
M04008,Long Island City,COST,aerosol,"5,158",2011,20110809
M03833,bushwick,kaws,mosaic,178,2010,20100404
M01526,Bushwick,cost,spraypaint,"6,856",2008,20080115
M02951,Astoria,shepard fairey,Aerosol,"2,534",2013,20130105
M00034,Long Island City,faith47,Mosaic,"7,925",2006,20061226
M00284,lower east side,cost,Acrylic,"6,778",2013,20130203
M02084,williamsburg,COST,mosaic,"3,589",2010,20100527
M01191,bushwick,Shepard Fairey,spray paint,"2,000",2022,20221208
M00861,BUSHWICK,COST,Wheatpaste,"6,723",2008,20081012
M02114,LES,Futura,aerosol,"1,278",2008,20081008
M02777,Harlem,Faith47,Acrylic,"4,600",2019,20191104
M02873,Bronx,cost,Wheatpaste,"2,811",2019,20191108
M04203,bushwick,shepard fairey,Spray Paint,91,2008,20080805
