m_id,insp_dt,cond,rtg,graf,fade
M04315,2020-04-19,poor,1,No,75
M00541,2024-02-20,Excellent,4,NO,25
M02802,2019-11-05,Fair,1,Yes,91
M02460,2022-08-13, excellent,4,no,26
M03864,2024-10-16,fair,4,No,94
M01182,2020-02-22,Fair,1,YES,73
M04014,2020-12-07,Poor ,4,NO,87
M00988,2024-04-21,good,3,Yes,81
M03459,2019-07-19,poor,2,No,72
M01684,2019-12-28,Excellent,2,No,-10
M04833,2024-12-07,Excellent,4,yes,49
M01734,2023-10-19,fair,4,yes,94
M01515,2023-02-22,good,2,yes,69
M01976,2022-04-02,good,5,NO,71
M03746,2024-04-25,good,99,y,67
M02102,2023-12-23,Poor ,4,yes,26
M00311,2022-06-07,poor,5,NO,39
M03469,2024-12-18,Poor ,3,NO,58
M03661,2020-09-11,Excellent,1,yes,74
M01278,2020-11-13, excellent,5,n,42
M00779,2020-09-26,Fair,3,no,58
M00324,2020-10-13,Poor ,1,YES,65
M01167,2020-03-09,good,3,no,12
M03723,2021-09-13,Fair,4,y,87
M02177,2023-10-09,,3,Yes,8
M03015,2021-04-09,Good,,No,55
M00327,2022-07-05,GOOD,,No,25
M03776,2022-09-28,GOOD,1,NO,70
M02004,2020-05-04,Poor ,2,yes,48
M00252,2023-08-27,GOOD,2,y,85
M04125,2022-07-05,GOOD,5,Yes,35
M01724,2021-09-22,,1,yes,20
M02035,2023-07-11,Good,4,NO,99
M01860,2023-04-08,Poor ,,YES,62
M01894,2019-08-07,fair,5,NO,67
M01889,2022-02-04,good,4,NO,17
M09846,2019-12-07,good,99,YES,78
M04258,2021-08-05,Poor ,5,no,42
M04280,2021-03-28,Fair,1,YES,81
M00163,2021-02-28,fair,3,NO,82
M00445,2020-05-08,Poor ,99,yes,
M02973,2023-03-22,Poor ,2,Yes,87
M00725,2020-03-04,fair,2,yes,63
M03821,2021-02-14,Poor ,3,No,26
M09892,2019-07-03,poor,5,NO,68
M03244,2019-11-28,GOOD,99,YES,77
M03398,2019-12-18,fair,5,n,80
M00611,2021-07-08,fair,5,n,44
M00002,2021-05-05,good,3,No,4
M03073,2022-11-09,Excellent,4,no,54
M00189,2019-04-26,Poor ,1,NO,97
M01545,2022-12-08,Poor ,2,Yes,98
M00967,2022-10-08,poor,99,Yes,100
M00237,2020-12-07,Fair,5,n,
M02240,2024-08-08,Excellent,2,No,26
M02119,2019-08-17,fair,1,n,9
M03197,2023-06-03,fair,2,NO,30
M03779,2019-07-16,GOOD,4,No,31
M01306,2024-12-18,fair,2,NO,52
M09819,2020-11-16,poor,5,YES,80
M03679,2023-10-12,fair,3,YES,92
M03855,2023-10-28,Good,3,Yes,95
M04367,2020-02-08,fair,2,no,63
M01377,2021-10-13,Good,5,NO,83
M00899,2020-02-26,poor,2,YES,4
M03463,2024-01-20,GOOD,3,yes,39
M09984,2023-11-20,Fair,4,n,61
M03093,2024-02-28,Excellent,1,n,13
M00035,2020-05-02,poor,1,NO,59
M01847,2019-02-13,Good,4,Yes,150
M04835,2020-03-22,Excellent,4,y,36
M02235,2023-11-10,good,1,YES,3
M03625,2024-02-02,good,4,no,29
M03646,2019-07-13,fair,3,NO,48
M01358,2022-10-01,Good,4,No,68
M03822,2024-08-15,GOOD,5,NO,59
M00493,2022-08-08,poor,4,n,150
M00868,2022-01-21,good,2,YES,41
M00710,2019-01-19,GOOD,1,n,7
M01268,2021-06-11,Good,1,y,30
M01113,2021-02-17,Good,3,no,19
M03070,2020-10-04,,5,NO,4
M00546,2024-05-03,fair,4,yes,29
M02652,2024-06-01,Poor ,4,no,51
M02731,2020-04-04,Good,3,No,73
M03584,2019-01-09,fair,4,no,45
M03059,2021-11-26,fair,3,Yes,67
M03351,2023-12-20, excellent,2,Yes,72
M01074,2019-09-03, excellent,2,yes,24
M03859,2019-04-27,fair,5,n,44
M09507,2024-08-09,Excellent,4,NO,65
M03732,2020-01-15,Fair,4,y,94
M02749,2020-01-15,Poor ,5,No,51
M04241,2022-10-23,Fair,5,NO,72
M00310,2019-11-03,Poor ,2,NO,65
M01027,2020-02-18,Good,2,NO,76
M02176,2020-08-05, excellent,3,no,
M03166,2024-09-26, excellent,3,n,63
M02294,2022-10-13,Poor ,2,No,96
M03665,2020-01-22,Excellent,3,no,25
M01445,2020-01-24,Good,2,NO,71
M01568,2023-05-03,Fair,5,yes,18
M01737,2021-10-10,Excellent,2,YES,58
M01592,2020-09-11,Good,4,NO,99
M01120,2021-05-05,fair,5,y,77
M03611,2022-07-21,Poor ,2,Yes,33
M03515,2019-04-19,Excellent,5,Yes,78
M03029,2019-01-05,good,2,YES,0
M03248,2023-01-01,GOOD,3,yes,26
M01919,2022-12-21,fair,5,NO,66
M00777,2020-11-27,Excellent,4,n,49
M04543,2019-01-16,Good,1,NO,65
M01110,2023-09-12,poor,4,y,0
M04038,2021-10-10,Good,5,y,86
M00213,2022-11-23,Poor ,1,YES,3
M02814,2024-08-07,good,5,y,22
M00634,2023-12-26,Good,4,y,85
M00479,2022-06-13,poor,5,no,69
M09948,2020-09-15,Fair,4,yes,32
M01997,2023-11-11,Poor ,2,YES,29
M04442,2019-04-02,Good,5,Yes,78
M00044,2020-10-18,poor,4,Yes,3
M02142,2020-09-02,good,5,No,37
M00437,2022-10-23,Poor ,3,No,41
M02480,2024-02-06,Good,5,Yes,75
M01901,2021-01-24,Excellent,1,No,65
M03863,2022-04-22,fair,3,yes,32
M09430,2022-12-18,Poor ,1,No,24
M02285,2021-12-25,Fair,2,no,82
M01062,2023-02-03,Good,1,no,57
M03744,2023-03-05,Fair,2,NO,78
M03118,2024-09-08,poor,2,n,31
M03602,2023-03-10,Good,1,yes,2
M03409,2021-01-13,Excellent,3,yes,20
M04545,2023-06-03,good,4,NO,18
M03512,2022-08-27,Good,2,no,10
M03554,2022-02-20,Fair,1,y,25
M00626,2020-07-16,Good,1,yes,23
M04074,2023-11-15,Fair,1,YES,41
M02513,2021-09-18, excellent,1,yes,69
M04486,2023-08-16,poor,4,NO,75
M01089,2020-12-14,Good,4,n,18
M01165,2019-03-17,Excellent,2,Yes,68
M03920,2024-09-17, excellent,0,n,
M00610,2022-08-08,Good,99,No,86
M03552,2019-05-03,Poor ,5,NO,74
M04262,2021-02-04,Excellent,2,NO,82
M01046,2023-02-24,fair,5,y,73
M00078,2024-09-14,fair,5,No,76
M01238,2021-06-19,good,2,yes,22
M00677,2023-09-09,GOOD,2,no,91
M00644,2019-04-11,Fair,5,y,92
M00024,2020-05-16,Good,4,NO,68
M00403,2024-05-19,good,2,no,54
M01001,2023-05-10,Fair,2,No,84
M02336,2022-10-08,Good,1,yes,2
M01157,2022-08-23,fair,3,n,53
M02757,2024-09-06,Good,1,no,16
M04845,2022-03-22,Good,3,No,37
M01224,2022-04-08,GOOD,4,Yes,46
M00177,2022-09-08,GOOD,1,No,15
M03696,2023-08-19,good,3,YES,24
M03709,2024-05-01,fair,5,YES,20
M04098,2020-06-11, excellent,3,y,74
M01566,2022-11-26,Excellent,1,No,7
M01443,2019-01-09,Poor ,2,NO,93
M02289,2023-10-19,Excellent,5,NO,5
M01567,2021-11-07,Excellent,2,no,72
M01319,2020-01-22,fair,2,y,13
M01854,2020-04-08, excellent,,Yes,28
M02561,2022-02-03, excellent,3,y,88
M04073,2020-09-24,poor,3,n,71
M02642,2023-10-10,poor,3,No,18
M00518,2021-08-13, excellent,1,No,38
M03975,2024-01-07,fair,2,n,28
M09266,2021-11-19,Poor ,4,NO,23
M01776,2024-02-02,GOOD,,YES,53
M01265,2023-09-21, excellent,3,yes,83
M04141,2024-03-04,Excellent,2,No,92
M00433,2022-03-11,Excellent,4,no,80
M04016,2019-07-23, excellent,1,yes,79
M00096,2023-04-02,poor,1,Yes,3
M03312,2022-02-08,fair,5,n,20
M03529,2021-05-07,Excellent,3,No,71
M02976,2019-02-23,GOOD,3,NO,87
M04740,2019-03-18,fair,5,n,44
M03132,2024-10-19,GOOD,4,No,97
M01386,2022-09-18,poor,2,no,38
M00471,2020-12-17, excellent,2,n,78
M04195,2021-06-18,Good,1,NO,96
M03711,2020-12-02,Fair,99,yes,28
M02706,2019-10-03,Fair,3,y,47
M03558,2019-03-07,Good,3,No,60
M01571,2022-06-28,good,1,yes,-10
M01965,2024-12-18,Excellent,5,n,49
M02205,2022-01-03,,,YES,62
M01430,2021-02-01, excellent,2,Yes,23
M00865,2023-01-01,GOOD,5,No,77
M00624,2021-11-21, excellent,4,Yes,5
M00240,2021-12-02,,5,No,85
M03102,2020-07-12,Fair,1,y,22
M01153,2021-08-12, excellent,3,Yes,72
M00982,2024-10-25,fair,1,No,51
M02777,2020-09-17,Excellent,3,No,70
M00062,2020-04-12,Good,,NO,64
M00586,2020-08-09,,1,y,78
M00895,2020-02-02,Excellent,2,no,49
M04338,2023-04-02,poor,5,NO,75
M04312,2021-08-18,good,3,yes,95
M02026,2020-02-02,fair,1,No,75
M00277,2024-01-10,fair,5,yes,42
M02641,2020-06-24, excellent,4,No,66
M03687,2023-08-12,Poor ,4,NO,55
M04037,2022-07-10,,2,NO,4
M01818,2023-09-28, excellent,1,YES,78
M00017,2022-04-09,fair,1,NO,37
M04783,2024-06-18,GOOD,3,NO,87
M04372,2023-06-26,GOOD,4,no,79
M02694,2024-01-13,fair,1,yes,37
M00733,2023-06-03, excellent,5,Yes,59
M00143,2021-12-15,Good,1,n,19
M04420,2020-01-12,Good,1,no,46
M01862,2023-08-12,Excellent,3,Yes,34
M04369,2019-09-16,Fair,2,yes,48
M01149,2019-08-23,Poor ,2,n,29
M01245,2020-03-02,Excellent,2,no,5
M01841,2022-12-23,GOOD,5,Yes,29
M02365,2020-12-08,Fair,4,yes,6
M01223,2019-07-14,Fair,3,yes,81
M04246,2022-11-23,GOOD,,YES,57
M01940,2023-03-16,GOOD,99,yes,27
M00969,2019-02-20,fair,4,y,
M02443,2024-05-04,,99,n,82
M03064,2023-06-15,fair,5,no,29
M02552,2021-01-06,Poor ,1,y,13
M04300,2020-11-02, excellent,3,n,7
M09902,2020-04-23,,,Yes,16
M00658,2019-10-19,fair,3,n,35
M00345,2024-12-15,Poor ,99,No,90
M03852,2020-04-10,GOOD,3,y,54
M04222,2020-07-20,good,2,yes,11
M02342,2021-11-12, excellent,2,n,75
M02393,2022-02-23,poor,1,yes,50
M02013,2023-11-15,GOOD,0,yes,68
M03628,2023-12-07,good,,NO,60
M02863,2024-08-26, excellent,5,YES,11
M03034,2023-10-17,Poor ,2,YES,27
M03905,2021-09-15,,5,No,15
M00701,2022-01-04,GOOD,99,n,73
M02600,2019-01-28,,4,NO,31
M04837,2022-01-28,Poor ,3,Yes,23
M02546,2023-02-26,Good,5,Yes,86
M00238,2020-11-27,Fair,2,NO,20
M04767,2024-01-04,Excellent,4,n,9
M00227,2024-11-01,GOOD,5,yes,12
M01318,2020-03-15,,3,no,8
M03761,2022-09-14,GOOD,5,NO,69
M00854,2021-09-14,good,3,Yes,79
M00523,2023-03-08,GOOD,4,y,50
M01788,2023-03-12,fair,4,Yes,2
M01774,2024-06-17,GOOD,3,Yes,66
M01045,2020-03-28,poor,5,No,89
M00461,2024-07-20,GOOD,1,No,43
M04570,2022-09-05,poor,2,NO,98
M03764,2023-06-22,poor,2,No,9
M01773,2019-11-18,Fair,1,Yes,40
M03384,2019-07-08,fair,5,y,24
M01786,2022-01-11,Good,4,y,80
M04065,2024-09-09,GOOD,,n,96
M02692,2023-07-12, excellent,2,n,35
M03816,2019-07-28,fair,2,No,51
M00302,2019-05-24,good,4,no,47
M01845,2020-05-22,Fair,3,yes,60
M00012,2019-01-26,GOOD,3,No,95
M03179,2019-05-27,fair,1,y,2
M02767,2022-09-22,good,1,no,46
M01452,2021-08-18,poor,1,YES,36
M03205,2021-09-17,good,1,y,29
M03361,2022-02-21,Excellent,1,Yes,76
M00490,2019-01-18,GOOD,2,no,15
M01652,2024-12-27,good,2,no,68
M00112,2022-01-20,Fair,1,n,20
M01008,2019-02-13,fair,4,YES,45
M02849,2024-03-07,good,5,Yes,90
M00429,2020-06-25,Excellent,1,Yes,2
M00094,2024-09-26, excellent,1,No,16
M04879,2021-11-14,,3,No,38
M03329,2020-12-12,fair,1,y,27
M04560,2021-09-02,Fair,4,no,70
M04124,2024-08-21,poor,2,No,0
M01132,2020-09-19,Good,2,yes,-10
M02991,2023-10-11,poor,3,Yes,68
M02302,2021-01-21,fair,2,No,100
M03453,2022-06-28,,3,Yes,19
M00301,2023-10-06,Excellent,4,yes,22
M03169,2022-12-26,GOOD,5,NO,49
M00759,2019-06-23,Poor ,2,YES,0
M00766,2021-06-15,Poor ,2,Yes,5
M02866,2022-06-19,Excellent,3,n,99
M00050,2024-06-06,GOOD,3,n,51
M00794,2023-12-20,Excellent,4,Yes,87
M01578,2020-01-04, excellent,4,No,34
M04733,2024-01-26,GOOD,5,y,77
M04466,2023-10-28, excellent,1,yes,71
M03068,2020-09-03,Excellent,3,No,81
M04488,2023-11-19,Good,5,n,
M00619,2020-11-06,,5,no,46
M02790,2024-01-17,fair,1,yes,80
M01172,2019-07-09,fair,5,no,17
M01529,2020-05-17, excellent,3,Yes,72
M03345,2020-08-10,Good,2,Yes,54
M01115,2020-11-28,Excellent,3,no,40
M04279,2020-08-25,Good,3,no,36
M04394,2024-09-25, excellent,5,yes,97
M02648,2022-07-10,fair,1,NO,14
M04186,2019-09-12,GOOD,2,y,83
M04546,2019-02-04,Poor ,1,NO,26
M00027,2022-02-14,Good,4,NO,29
M00835,2023-06-05,poor,3,Yes,95
M03624,2019-09-10,,4,YES,88
M04244,2024-06-16,poor,4,NO,69
M03470,2023-10-17,good,,Yes,46
M00654,2020-07-16,GOOD,3,No,18
M02107,2023-02-09,Fair,3,YES,52
M02228,2024-08-01, excellent,5,Yes,66
M03524,2020-09-03, excellent,1,YES,76
M00652,2024-05-10,Good,5,no,96
M04557,2024-03-07,GOOD,3,YES,41
M03996,2022-08-19,Excellent,5,YES,26
M01276,2020-10-17, excellent,2,no,34
M01863,2023-12-10,good,2,yes,47
M02298,2020-07-24,GOOD,4,n,20
M02263,2024-11-19,Excellent,3,no,65
M02534,2023-02-13,Good,,yes,94
M01272,2023-03-25,GOOD,2,No,48
M00141,2021-04-28, excellent,,y,57
M01916,2022-11-27,GOOD,3,no,31
M00807,2023-05-25,good,3,yes,32
M03363,2024-07-20, excellent,4,y,68
M03164,2021-01-22,Fair,1,NO,7
M04763,2019-03-07,Excellent,3,Yes,73
M03560,2020-04-05, excellent,2,yes,23
M02608,2023-11-03,fair,5,NO,9
M02217,2022-09-11,GOOD,3,YES,0
M04842,2020-04-17,Good,3,yes,54
M03423,2024-12-24,Fair,2,no,32
M00032,2019-03-18,Excellent,3,yes,5
M02965,2021-10-17,GOOD,3,Yes,68
M02735,2023-12-14,Fair,3,y,53
M00288,2023-06-11,Good,1,yes,24
M02772,2021-10-09,poor,3,No,81
M01344,2024-07-02,good,2,NO,91
M02878,2021-05-08,fair,2,NO,83
M00604,2021-11-14,GOOD,2,Yes,150
M04204,2023-01-27,Fair,4,Yes,95
M01654,2020-02-13,fair,4,no,22
M03185,2021-01-04,Excellent,1,no,
M02303,2023-01-02, excellent,1,Yes,65
M01180,2023-03-24,Good,5,y,4
M03066,2023-04-12,Excellent,4,NO,25
M01346,2021-11-04,Excellent,4,NO,75
M03894,2022-11-19,Fair,3,n,87
M02499,2023-07-23,poor,3,No,83
M04465,2022-05-01,Poor ,1,YES,19
M01448,2021-08-20,Poor ,5,No,97
M04193,2022-06-24,good,2,y,82
M03972,2021-10-05,GOOD,1,NO,52
M03846,2019-11-02,Good,3,No,11
M03544,2022-10-07,Good,2,No,48
M01687,2022-11-18,Good,2,no,69
M00918,2019-07-15,Excellent,1,NO,51
M02291,2021-12-26,good,1,y,12
M03486,2022-04-10,poor,4,no,58
M03493,2019-12-21,good,3,no,1
M00960,2021-03-10,Poor ,4,no,12
M00395,2020-01-07,Fair,5,NO,11
M00138,2019-04-08,Fair,3,No,61
M01389,2022-11-08,Poor ,3,NO,34
M02227,2024-11-04,,5,No,28
M01470,2019-02-02,Fair,4,No,9
M04667,2021-12-28,good,5,Yes,67
M01739,2023-05-25,GOOD,5,NO,52
M01973,2022-08-14,Poor ,5,YES,85
M04662,2023-02-26,poor,3,n,62
M01198,2021-07-04, excellent,2,y,90
M00608,2021-02-09,poor,3,YES,36
M04509,2023-07-27,good,1,NO,40
M01463,2022-09-01,,5,NO,99
M00290,2019-05-23,Excellent,4,y,16
M03019,2024-08-12,poor,4,No,21
M04027,2020-02-07,Excellent,4,YES,73
M04091,2023-12-08,Fair,3,n,44
M02388,2024-11-11,poor,3,yes,99
M03181,2021-01-11,Good,4,Yes,8
M04607,2019-11-14, excellent,3,y,78
M02043,2023-06-15,Poor ,2,Yes,30
M02395,2023-08-04,Poor ,5,NO,55
M01009,2019-11-03,Good,1,y,66
M04676,2024-04-13, excellent,4,y,14
M02467,2022-12-09,good,5,yes,23
M01286,2023-11-27,Excellent,5,YES,34
M02962,2019-11-26,GOOD,4,Yes,31
M03437,2022-02-03,Excellent,3,yes,53
M00536,2023-05-07,fair,4,no,83
M02155,2024-08-03,GOOD,4,no,89
M04216,2023-08-18,GOOD,2,no,21
M02856,2024-10-09,GOOD,4,No,51
M03322,2021-03-14,poor,3,NO,56
M01103,2022-06-26,good,5,Yes,150
M02815,2021-11-28, excellent,3,Yes,33
M04183,2022-07-07, excellent,3,YES,31
M03648,2024-05-15, excellent,3,n,84
M00869,2023-09-07,Fair,5,y,53
M02936,2023-07-05, excellent,4,Yes,71
M02759,2024-05-22,Good,1,Yes,51
M02604,2021-10-18,GOOD,3,y,13
M03561,2022-11-10,Excellent,1,y,12
M04296,2024-06-02,poor,4,n,33
M02953,2019-11-15,GOOD,3,n,51
M04534,2020-10-23,Poor ,2,YES,33
M04352,2023-12-12,good,2,Yes,55
M01292,2019-01-10,good,1,No,58
M03739,2021-03-14,Good,3,no,21
M03396,2019-10-12,Good,2,YES,81
M04011,2019-08-01,Fair,5,NO,95
M02133,2020-04-10,fair,2,YES,28
M00051,2021-01-08,fair,,Yes,38
M01674,2022-03-01,Fair,2,NO,26
M01919,2022-12-21,fair,5,NO,66
M01727,2019-02-01,poor,4,n,60
M00888,2021-05-15, excellent,2,yes,64
M03670,2019-10-07, excellent,1,yes,10
M00616,2020-10-18,good,4,NO,53
M00538,2022-06-09,Fair,1,YES,76
M01804,2020-04-28,GOOD,3,n,35
M03969,2024-07-13,good,1,y,1
M02709,2022-07-15,Good,,YES,93
M01891,2022-11-08,Poor ,4,yes,34
M03599,2019-05-10, excellent,4,no,73
M02401,2023-11-06,Excellent,3,Yes,13
M04477,2019-01-02,Fair,2,n,43
M03517,2019-08-11, excellent,1,y,35
M03992,2019-08-15,GOOD,1,No,88
M03931,2022-10-16,Fair,3,NO,24
M00283,2023-08-26,poor,3,yes,38
M03955,2024-05-13,Poor ,4,no,77
M09038,2022-11-03,Good,1,NO,88
M04663,2020-07-26,Good,2,yes,25
M02379,2020-12-18,GOOD,1,YES,84
M01865,2020-08-09,good,1,yes,100
M00863,2023-07-05,good,5,n,
M00748,2020-06-28,Excellent,1,Yes,42
M00847,2020-01-07,GOOD,2,yes,79
M00144,2024-09-21,fair,3,Yes,79
M02194,2023-04-16,poor,5,No,84
M04409,2024-05-23,Fair,3,y,
M02515,2019-05-28,Poor ,2,n,44
M03471,2024-12-08,Poor ,5,YES,23
M04518,2020-10-06,Fair,3,Yes,82
M00910,2023-03-15,poor,5,y,31
M00364,2021-11-13,poor,1,y,0
M00567,2019-05-22,Good,3,Yes,43
M01922,2023-08-19,,,YES,71
M00446,2019-02-18,fair,2,Yes,97
M03592,2022-06-23,Excellent,2,n,81
M04618,2024-12-08,good,4,No,29
M02643,2019-09-25,Fair,3,no,29
M02725,2023-07-02,,4,Yes,32
M01811,2024-02-16,Good,4,Yes,18
M04616,2020-10-10,fair,3,YES,90
M00483,2020-03-22,fair,5,yes,71
M03887,2019-04-01,,5,NO,9
M01434,2023-07-14,Poor ,5,YES,94
M04595,2021-08-09,Good,2,n,54
M01755,2020-11-25,Poor ,2,y,26
M04422,2021-05-14,GOOD,3,No,44
M03057,2019-11-21,Good,2,n,100
M01178,2023-02-20,fair,2,y,64
M04741,2024-01-23,poor,4,NO,52
M03136,2022-02-13,Excellent,5,n,85
M01404,2019-04-13,fair,3,No,71
M00956,2019-07-10,GOOD,4,YES,
M02309,2022-02-05,Excellent,1,No,73
M00484,2022-07-03,fair,3,No,35
M03900,2021-12-06,Fair,5,Yes,150
M03038,2020-07-16,Fair,3,No,49
M02886,2022-03-28,fair,1,no,42
M01459,2019-03-14,,2,yes,41
M04360,2020-01-14, excellent,2,Yes,58
M02185,2020-01-22,Good,3,no,44
M02364,2021-02-02,poor,5,n,150
M02308,2022-10-16, excellent,5,NO,79
M02490,2024-08-03,poor,1,No,18
M04572,2020-07-17,good,3,NO,11
M04868,2024-07-11,GOOD,1,YES,95
M03014,2021-07-03,GOOD,2,No,9
M00007,2022-10-22,Fair,3,Yes,
M03126,2020-03-18,fair,4,No,1
M02649,2022-01-13,Good,1,no,62
M02725,2023-07-02,,4,Yes,32
M00420,2020-10-01,GOOD,5,no,38
M01842,2024-03-16,Good,2,Yes,40
M01996,2020-09-09,,3,y,45
M09151,2019-12-28,fair,1,yes,60
M02129,2019-03-15,fair,1,y,96
M01257,2020-03-22,fair,3,YES,97
M03007,2022-03-20,,2,yes,88
M04048,2024-04-06,,1,no,45
M03802,2021-06-04,fair,1,YES,28
M02507,2024-09-26,GOOD,5,Yes,81
M01715,2021-10-14, excellent,5,no,44
M02684,2024-07-26,fair,5,yes,33
M03346,2021-11-02,GOOD,4,no,90
M00424,2021-04-12,Excellent,5,yes,90
M04218,2021-04-19,poor,2,Yes,61
M03097,2020-11-25,Fair,,Yes,69
M03647,2019-06-11,Fair,4,y,96
M01284,2020-09-04,poor,2,Yes,0
M01767,2023-11-16,Excellent,2,no,70
M00588,2024-02-09,GOOD,3,No,2
M02085,2023-07-27,Poor ,4,y,16
M04586,2022-03-13,fair,,YES,88
M03778,2024-03-07,Poor ,1,yes,65
M02264,2023-04-04,Poor ,1,YES,97
M02606,2024-03-22,GOOD,3,no,51
M04406,2021-01-02,Good,4,Yes,17
M00815,2021-12-05,Excellent,5,y,29
M02209,2020-07-25,Excellent,3,YES,14
M01535,2020-10-06,Good,2,YES,26
M02681,2020-12-14,Excellent,1,yes,73
M03852,2020-04-10,GOOD,3,y,54
M04064,2023-10-05,poor,4,no,32
M02268,2022-09-09,GOOD,1,yes,50
M01679,2022-03-15,poor,2,yes,0
M01883,2019-06-19,Excellent,1,n,23
M02588,2020-10-07,Poor ,4,Yes,50
M00714,2021-04-25,,2,yes,20
M01246,2024-04-26,fair,4,n,59
M03728,2020-08-17,Good,4,y,64
M00945,2023-02-09,good,4,NO,150
M00812,2020-04-22,Excellent,2,YES,90
M00315,2024-05-10,fair,4,Yes,81
M01367,2019-05-13,poor,4,NO,22
M00131,2022-01-02,Good,2,n,64
M02889,2020-06-20, excellent,5,YES,23
M02981,2022-10-06,GOOD,4,no,75
M00043,2020-12-08,Good,5,n,68
M01270,2020-04-04,GOOD,5,No,52
M01048,2021-03-08,Excellent,4,yes,77
M00708,2020-06-13,poor,3,no,72
M00321,2020-01-09,GOOD,3,n,23
M03800,2024-02-06,Good,3,no,5
M02466,2019-02-17,,1,no,89
M03600,2020-09-02,GOOD,4,YES,52
M02037,2021-04-10, excellent,1,no,82
M04242,2020-03-03,Good,2,y,78
M00259,2020-12-16,Fair,3,y,79
M04796,2023-07-10,GOOD,3,YES,98
M01664,2022-09-05,good,3,no,17
M04305,2019-07-07,poor,4,No,
M00596,2023-01-19,Fair,,no,55
M03942,2020-06-04,poor,4,no,
M03534,2020-06-08, excellent,3,Yes,47
M02281,2020-11-26,good,2,Yes,31
M03349,2022-03-17,good,5,n,95
M00181,2019-07-21,Excellent,1,y,
M01304,2021-10-04,poor,1,No,13
M00036,2023-09-16,Good,4,NO,46
M04566,2022-03-18,Excellent,3,YES,65
M00142,2021-11-27,GOOD,5,yes,25
M03305,2020-08-02, excellent,4,Yes,55
M03017,2024-02-25,Fair,3,no,42
M00747,2021-09-01,Good,1,no,64
M02005,2023-09-09,poor,5,y,0
M04277,2024-03-26,GOOD,3,No,4
M02127,2023-03-06,GOOD,5,yes,17
M03053,2024-06-03,GOOD,2,No,63
M04418,2022-10-03, excellent,2,n,80
M04866,2022-04-12,fair,4,NO,6
M04224,2024-11-19,,5,y,32
M03937,2020-08-09,Fair,1,y,57
M04790,2022-09-14, excellent,3,YES,41
M02180,2022-09-12,Poor ,3,No,96
M00629,2019-02-17,Excellent,4,Yes,50
M00682,2022-08-27,Good,4,YES,88
M02274,2020-04-03,good,1,y,31
M01909,2020-01-20,Excellent,4,NO,7
M01610,2024-01-15,fair,5,No,36
M00164,2023-10-12,good,4,No,31
M03505,2024-06-17,Poor ,4,No,15
M02353,2023-10-23,poor,5,YES,54
M03317,2022-03-24,Excellent,5,y,61
M01764,2019-05-07,,99,No,8
M03502,2021-09-10,Fair,3,No,13
M02813,2020-03-05, excellent,2,No,8
M09624,2021-09-16,Poor ,1,n,79
M02148,2024-12-04,Poor ,5,yes,55
M01707,2023-08-20,GOOD,5,no,19
M02132,2022-07-20, excellent,,no,43
M01204,2024-01-01, excellent,2,YES,34
M09424,2020-07-11,poor,,YES,23
M03109,2023-03-05,fair,5,n,85
M04704,2020-03-23,Poor ,3,Yes,56
M01726,2020-11-07, excellent,4,YES,57
M04047,2023-09-23,Good,3,no,74
M04035,2020-07-11,,2,No,55
M04234,2023-12-28, excellent,4,NO,34
M03565,2022-07-06,Excellent,5,y,19
M01867,2020-08-22, excellent,3,YES,21
M00880,2024-03-05,fair,,NO,78
M04221,2022-07-21,Fair,1,n,91
M04050,2020-05-02,Excellent,5,Yes,29
M03533,2022-05-15, excellent,2,YES,64
M00156,2020-05-12,Poor ,3,yes,60
M02972,2021-05-10,GOOD,5,Yes,34
M00896,2020-05-22,good,,No,30
M03405,2019-01-27,Fair,4,YES,88
M02117,2020-09-26, excellent,3,YES,85
M03430,2022-12-15,Fair,99,No,46
M02098,2021-11-28,poor,4,n,83
M02478,2023-04-23,GOOD,5,n,17
M04777,2022-05-20,fair,1,n,5
M04855,2020-04-25,poor,3,Yes,58
M00841,2021-02-17,poor,1,y,34
M00314,2019-12-13,poor,2,YES,31
M01904,2021-08-21,,3,Yes,62
M00696,2019-11-26,GOOD,2,y,12
M02191,2021-09-06,Good,5,n,78
M01918,2024-12-19,fair,3,YES,64
M03225,2023-11-01,fair,1,no,28
M03811,2019-12-08,poor,4,YES,53
M02855,2019-12-04,Good,4,yes,51
M02179,2021-10-20,Good,1,n,40
M02010,2019-11-24,Good,3,y,13
M03103,2020-08-10,Poor ,3,NO,5
M02673,2022-08-05,Fair,2,yes,65
M04568,2019-06-08, excellent,2,no,45
M03182,2022-11-04,Good,2,Yes,29
M00681,2019-10-16,fair,4,YES,20
M02424,2022-02-02,poor,5,No,43
M04355,2024-12-06,poor,1,NO,65
M02258,2019-09-14,Fair,4,NO,5
M03190,2021-01-13,Poor ,3,no,42
M00093,2022-06-02,GOOD,4,YES,
M03474,2019-12-06,good,5,YES,7
M02335,2023-10-24,,3,no,29
M01856,2023-02-18,,2,YES,41
M01756,2019-09-09,fair,5,no,31
M00711,2019-10-07,Excellent,4,y,55
M01471,2020-06-09,good,2,n,87
M09577,2024-02-03,good,1,y,88
M03319,2021-01-20,fair,3,y,73
M03961,2024-12-01,Excellent,0,yes,51
M03489,2022-05-08,,,y,57
M00548,2019-06-16,GOOD,3,YES,33
M00354,2022-02-21,Good,1,NO,52
M00449,2022-07-04,fair,2,y,19
